id,token,tag
0,Обсуждается,Contrib
1,проявившееся,Contrib
2,в,Contrib
3,последние,Contrib
4,годы,Contrib
5,в,Contrib
6,мировой,Contrib
7,лингвистике,Contrib
8,негативное,Contrib
9,отношение,Contrib
10,к,Contrib
11,исследованиям,Contrib
12,",",Contrib
13,посвященным,Contrib
14,языковой,Contrib|Task
15,картине,Contrib|Task
16,мира,Contrib|Task
17,",",Contrib
18,гипотезе,Contrib|Task
19,лингвистической,Contrib|Task
20,относительности,Contrib|Task
21,и,Contrib
22,проблеме,Contrib|Task
23,ключевых,Contrib|Task
24,слов,Contrib|Task
25,",",Contrib
26,а,Contrib
27,также,Contrib
28,влияние,Contrib
29,этих,Contrib
30,взглядов,Contrib
31,на,Contrib
32,работы,Contrib
33,по,Contrib
34,составлению,Contrib|Task
35,ассоциативных,Contrib|Task
36,словарей,Contrib|Task
37,.,O
