id,token,tag
0,Статья,O
1,посвящена,O
2,современным,O
3,проблемам,O
4,изучения,Task
5,соматизмов,Task
6,как,Task
7,отдельного,Task
8,класса,Task
9,фразеологических,Task
10,единиц,Task
11,(,Task
12,ФЕ,Task
13,),Task
14,.,O
15,Представлены,O
16,результаты,O
17,исследования,Contrib
18,соматических,Contrib
19,ФЕ,Contrib
20,с,Contrib
21,основообразующим,Contrib
22,компонентом,Contrib
23,«,Contrib
24,Arm,Contrib
25,»,Contrib
26,",",O
27,рассматриваются,Contrib
28,вопросы,Contrib
29,о,Contrib
30,функциональном,Contrib
31,содержании,Contrib
32,и,Contrib
33,частотности,Contrib
34,употребления,Contrib
35,соматизма,Contrib
36,в,Contrib
37,современном,Contrib
38,немецком,Contrib
39,языке,Contrib
40,.,O
