id,token,tag
0,Образная,Task
1,составляющая,Task
2,является,O
3,неотъемлемым,O
4,структурным,O
5,компонентом,O
6,мифологического,O
7,концепта,O
8,.,O
9,Она,O
10,варьирует,O
11,в,O
12,исследуемых,O
13,концептах,O
14,в,O
15,достаточно,O
16,широких,O
17,пределах,O
18,и,O
19,зависит,O
20,от,O
21,количества,O
22,когнитивных,O
23,признаков,O
24,в,O
25,структуре,O
26,концепта,O
27,.,O
28,Перцептивные,O
29,характеристики,O
30,мифологических,O
31,концептов,O
32,наиболее,O
33,ярко,O
34,манифестируются,O
35,во,O
36,внутренней,O
37,форме,O
38,репрезентирующих,O
39,их,O
40,лексем,O
41,и,O
42,в,O
43,сказочном,O
44,дискурсе,O
45,в,O
46,системе,O
47,лингвостилистических,O
48,средств,O
49,.,O
