id,token,tag
0,Представлен,Contrib
1,анализ,Contrib
2,сравнительного,Contrib
3,эмпирического,Contrib
4,исследования,Contrib
5,проявлений,Contrib
6,инновационности,Contrib
7,личности,Contrib
8,у,Contrib
9,руководителей,Contrib
10,в,Contrib
11,различные,Contrib
12,периоды,Contrib
13,взрослости,Contrib
14,.,O
15,На,O
16,основе,O
17,подробно,O
18,описанной,O
19,стратегии,O
20,исследования,O
21,и,O
22,обоснования,O
23,результатов,O
24,автор,O
25,представляет,Contrib
26,значимые,Contrib
27,характеристики,Contrib
28,инновационности,Contrib
29,личности,Contrib
30,руководителя,Contrib
31,и,O
32,предлагает,Contrib
33,практические,Contrib
34,основы,Contrib
35,их,Contrib
36,развития,Contrib
37,в,Contrib
38,процессе,Contrib
39,организации,Contrib
40,корпоративного,Contrib
41,обучения,Contrib
42,.,O
