id,token,tag
0,Автор,O
1,обращает,O
2,внимание,O
3,на,O
4,сосредоточенность,Task
5,современных,Task
6,исследований,Task
7,при,Task
8,изучении,Task
9,феномена,Task
10,«,Task
11,красоты,Task
12,человека,Task
13,»,Task
14,на,Task
15,внешней,Task
16,привлекательности,Task
17,.,O
18,Предлагается,Contrib
19,рассматривать,Contrib
20,данный,Contrib
21,феномен,Contrib
22,целостно,Contrib
23,",",Contrib
24,с,Contrib
25,учетом,Contrib
26,духовно-душевно-телесной,Contrib
27,природы,Contrib
28,человека,Contrib
29,.,O
30,При,O
31,исследовании,O
32,данной,O
33,проблемы,O
34,автор,O
35,считает,O
36,полезным,O
37,привлечение,O
38,литературно-художественного,O
39,материала,O
40,.,O
