id,token,tag
0,Изучались,Contrib
1,особенности,Contrib|Task
2,психологического,Contrib|Task
3,времени,Contrib|Task
4,трех,Contrib
5,групп,Contrib
6,женщин,Contrib
7,возраста,Contrib
8,55–65,Contrib
9,лет,Contrib
10,.,O
11,Женщины,O
12,первой,O
13,и,O
14,второй,O
15,групп,O
16,завершили,O
17,свою,O
18,профессиональную,O
19,деятельность,O
20,.,O
21,Первую,O
22,группу,O
23,составили,O
24,15,O
25,социально,O
26,активных,O
27,женщин,O
28,",",O
29,которые,O
30,участвовали,O
31,в,O
32,различных,O
33,творческих,O
34,объединениях,O
35,при,O
36,Домах,O
37,культуры,O
38,",",O
39,а,O
40,также,O
41,в,O
42,работе,O
43,районного,O
44,совета,O
45,ветеранов,O
46,.,O
47,Во,O
48,вторую,O
49,группу,O
50,вошли,O
51,15,O
52,женщин,O
53,",",O
54,основное,O
55,время,O
56,посвящающие,O
57,домашнему,O
58,хозяйству,O
59,и,O
60,общению,O
61,с,O
62,близкими,O
63,и,O
64,родственниками,O
65,.,O
66,Третью,O
67,группу,O
68,составили,O
69,20,O
70,женщин,O
71,",",O
72,продолжающих,O
73,работать,O
74,.,O
75,В,O
76,исследовании,O
77,использовался,O
78,мотивационный,O
79,список,O
80,",",O
81,список,O
82,событий,O
83,прошлого,O
84,и,O
85,будущего,O
86,",",O
87,опросник,Method
88,временной,Method
89,перспективы,Method
90,ZTPI,Method
91,P.,Method
92,Zimbardo,Method
93,и,Method
94,J.,Method
95,Boyd,Method
96,",",O
97,включая,O
98,шкалу,Method
99,трансцендентальной,Method
100,временной,Method
101,перспективы,Method
102,",",O
103,оценивалась,O
104,ожидаемая,O
105,продолжительность,O
106,жизни,O
107,и,O
108,психологический,O
109,(,O
110,субъективный,O
111,и,O
112,желаемый,O
113,),O
114,возраст,O
115,.,O
116,Данное,Conc
117,явление,Conc
118,наиболее,Conc
119,выражено,Conc
120,у,Conc
121,социально,Conc
122,активных,Conc
123,женщин,Conc
124,.,O
125,Структура,Conc
126,временной,Conc
127,перспективы,Conc
128,и,Conc
129,ее,Conc
130,содержание,Conc
131,существенно,Conc
132,различаются,Conc
133,в,Conc
134,исследованных,Conc
135,группах,Conc
136,",",O
137,причем,O
138,основные,Conc
139,различия,Conc
140,касаются,Conc
141,перспективы,Conc
142,будущего,Conc
143,.,O
