id,token,tag
0,Идентичность,Contrib|Task
1,рассматривается,Contrib
2,как,Contrib
3,некая,Contrib
4,структура,Contrib
5,",",Contrib
6,матрица,Contrib
7,автономного,Contrib
8,Self,Contrib
9,",",Contrib
10,переживаемая,Contrib
11,субъективно,Contrib
12,как,Contrib
13,чувство,Contrib
14,тождественности,Contrib
15,и,Contrib
16,постоянства,Contrib
17,собственной,Contrib
18,личности,Contrib
19,",",Contrib
20,сопровождающееся,Contrib
21,ощущением,Contrib
22,целенаправленности,Contrib
23,и,Contrib
24,осмысленности,Contrib
25,своей,Contrib
26,жизни,Contrib
27,и,Contrib
28,уверенности,Contrib
29,во,Contrib
30,внешнем,Contrib
31,одобрении,Contrib
32,.,O
33,Мифосознание,O
34,отражает,O
35,общие,O
36,характеристики,O
37,мифологического,O
38,способа,O
39,освоения,O
40,действительности,O
41,.,O
42,Структуры,Contrib
43,и,Contrib
44,функции,Contrib
45,мифосознания,Contrib
46,рассматривались,Contrib
47,как,Contrib
48,составляющие,Contrib
49,процесса,Contrib
50,развития,Contrib
51,личности,Contrib
52,и,O
53,определялись,O
54,целями,O
55,и,O
56,особенностями,O
57,доминирующей,O
58,формы,O
59,представленности,O
60,мифосознания,O
61,.,O
62,Типы,O
63,проявления,O
64,мифосознания,O
65,",",O
66,определяются,O
67,особенностями,O
68,господствующей,O
69,конфигурации,O
70,знакового,O
71,опосредствования,O
72,в,O
73,различных,O
74,видах,O
75,человеческой,O
76,жизнедеятельности,O
77,.,O
78,Основной,O
79,предмет,O
80,изучения,O
81,–,O
82,особенности,Task
83,проявления,Task
84,мифосознания,Task
85,в,Task
86,связи,Task
87,с,Task
88,проблемами,Task
89,идентичности,Task
90,.,O
