id,token,tag
0,Обосновывается,Contrib
1,мифологический,Contrib
2,ресурс,Contrib
3,семейно-брачного,Contrib
4,функционирования,Contrib
5,.,O
6,Миф,O
7,понимается,O
8,",",O
9,согласно,O
10,А.,O
11,Ф.,O
12,Лосеву,O
13,",",O
14,как,O
15,смыслообразующая,O
16,основа,O
17,жизни,O
18,.,O
19,В,O
20,качестве,O
21,методологического,O
22,инструментария,O
23,раскрытия,O
24,темы,O
25,применяется,O
26,пентадная,Method
27,диалектика,Method
28,в,O
29,авторской,O
30,обработке,O
31,профессора,O
32,В.,O
33,Ю.,O
34,Завьялова,O
35,",",O
36,автора,O
37,отечественного,O
38,направления,O
39,дианализа,O
40,.,O
