id,token,tag
0,Рассматриваются,Contrib
1,актуальныепроблемы,Contrib
2,психотерапии,Contrib|Task
3,искусством,Contrib|Task
4,как,Contrib
5,одного,Contrib
6,из,Contrib
7,направлений,Contrib
8,современной,Contrib
9,клинико-психологической,Contrib
10,практики,Contrib
11,.,O
12,Систематизируются,Contrib
13,данные,Contrib
14,современных,Contrib
15,отечественных,Contrib
16,и,Contrib
17,зарубежных,Contrib
18,исследований,Contrib
19,специфики,Contrib
20,воздействия,Contrib
21,произведений,Contrib
22,искусства,Contrib
23,на,Contrib
24,личность,Contrib
25,.,O
26,Предпринята,Contrib
27,попытка,Contrib
28,осмысления,Contrib
29,механизмов,Contrib
30,психотерапевтического,Contrib
31,влияния,Contrib
32,искусства,Contrib
33,на,Contrib
34,человека,Contrib
35,с,Contrib
36,позиций,Contrib
37,русской,Contrib
38,философской,Contrib
39,традиции,Contrib
40,(,Contrib
41,концепция,Contrib
42,искусства,Contrib
43,И.,Contrib
44,А.,Contrib
45,Ильина,Contrib
46,),Contrib
47,.,O
48,Показана,O
49,перспективность,Conc
50,психотерапии,Conc
51,созерцанием,Conc
52,образцов,Conc
53,классического,Conc
54,искусства,Conc
55,.,O
56,Раскрываются,Contrib
57,возможности,Contrib
58,использования,Contrib
59,художественных,Contrib
60,произведений,Contrib
61,как,Contrib
62,источников,Contrib
63,«,Contrib
64,живого,Contrib
65,»,Contrib
66,психологического,Contrib
67,знания,Contrib
68,",",Contrib
69,средств,Contrib
70,самопознания,Contrib
71,и,Contrib
72,развития,Contrib
73,значимых,Contrib
74,в,Contrib
75,профессиональном,Contrib
76,плане,Contrib
77,личностных,Contrib
78,качеств,Contrib
79,в,Contrib
80,процессе,Contrib
81,подготовки,Contrib
82,специалистов-психологов,Contrib
83,.,O
