id,token,tag
0,Анализируются,Contrib
1,российские,Contrib
2,диссертации,Contrib
3,последних,Contrib
4,десяти,Contrib
5,лет,Contrib
6,",",Contrib
7,посвященные,Contrib
8,проблеме,Contrib
9,личностной,Contrib|Task
10,идентичности,Contrib|Task
11,.,O
12,Обсуждается,Contrib
13,определение,Contrib
14,и,Contrib
15,понимание,Contrib
16,феномена,Contrib
17,личностной,Contrib
18,идентичности,Contrib
19,.,O
20,Отсутствуют,O
21,единые,O
22,представления,O
23,о,O
24,содержании,O
25,и,O
26,определении,O
27,личностной,O
28,идентичности,O
29,",",O
30,содержание,O
31,личностной,O
32,идентичности,O
33,специфично,O
34,на,O
35,каждом,O
36,этапе,O
37,ее,O
38,становления,O
39,.,O
40,Рассматриваются,Contrib
41,факторы,Contrib
42,становления,Contrib
43,личностной,Contrib
44,идентичности,Contrib
45,.,O
46,Изучены,Contrib
47,факторы,Contrib
48,самооценки,Contrib
49,",",Contrib
50,принятия,Contrib
51,себя,Contrib
52,",",Contrib
53,развития,Contrib
54,мышления,Contrib
55,",",Contrib
56,миграции,Contrib
57,",",Contrib
58,продолжительного,Contrib
59,неуспеха,Contrib
60,",",Contrib
61,предпочитаемых,Contrib
62,когнитивных,Contrib
63,стилей,Contrib
64,и,O
65,др,O
66,.,O
67,Ставится,Contrib
68,вопрос,Contrib
69,о,Contrib
70,неравнозначности,Contrib|Conc
71,вклада,Contrib|Conc
72,различных,Contrib|Conc
73,факторов,Contrib|Conc
74,и,Contrib
75,об,Contrib
76,их,Contrib
77,соотношении,Contrib
78,.,O
