id,token,tag
0,Молодежные,O
1,субкультуры,O
2,являются,O
3,важным,O
4,фактором,O
5,социализации,O
6,",",O
7,в,O
8,настоящее,O
9,время,O
10,растет,O
11,популярность,O
12,среди,O
13,российской,O
14,молодежи,O
15,субкультуры,O
16,любителей,O
17,японских,O
18,мультфильмов,O
19,(,O
20,аниме,O
21,),O
22,и,O
23,комиксов,O
24,(,O
25,манги,O
26,),O
27,–,O
28,отаку,O
29,.,O
30,Целью,O
31,исследования,O
32,являлся,O
33,анализ,Contrib
34,трансформации,Contrib
35,идентичности,Contrib
36,подростков,Contrib
37,в,Contrib
38,субкультуре,Contrib
39,отаку,Contrib
40,.,O
41,Обнаружены,Conc
42,особенности,Conc
43,трансформационного,Conc
44,процесса,Conc
45,:,Conc
46,1,Conc
47,),Conc
48,позитивные,Conc
49,(,Conc
50,проявляющиеся,Conc
51,в,Conc
52,росте,Conc
53,личности,Conc
54,–,Conc
55,расширении,Conc
56,интересов,Conc
57,",",Conc
58,постановке,Conc
59,целей,Conc
60,и,Conc
61,решении,Conc
62,задач,Conc
63,",",Conc
64,увеличении,Conc
65,социальных,Conc
66,контактов,Conc
67,),Conc
68,;,Conc
69,2,Conc
70,),Conc
71,нейтральные,Conc
72,(,Conc
73,проявляющиеся,Conc
74,в,Conc
75,стойкости,Conc
76,",",Conc
77,совладании,Conc
78,с,Conc
79,жизненными,Conc
80,трудностями,Conc
81,и,Conc
82,неудачами,Conc
83,),Conc
84,;,Conc
85,3,Conc
86,),Conc
87,негативные,Conc
88,(,Conc
89,заключающиеся,Conc
90,в,Conc
91,сужении,Conc
92,личности,Conc
93,",",Conc
94,асоциальном,Conc
95,поведении,Conc
96,",",Conc
97,снижении,Conc
98,успеваемости,Conc
99,в,Conc
100,учебном,Conc
101,заведении,Conc
102,),Conc
103,.,O
