id,token,tag
0,Рассматриваются,O
1,вопросы,O
2,",",O
3,связанные,O
4,с,O
5,самоидентификацией,Task
6,в,O
7,Японии,O
8,–,O
9,стране,O
10,",",O
11,которая,O
12,благодаря,O
13,быстрой,O
14,модернизации,O
15,заняла,O
16,заметное,O
17,место,O
18,на,O
19,мировой,O
20,арене,O
21,.,O
22,Излагаются,Contrib
23,особенности,Contrib
24,Японии,Contrib
25,",",Contrib
26,связанные,Contrib
27,со,Contrib
28,становлением,Contrib
29,личности,Contrib
30,",",O
31,среди,O
32,которых,O
33,главной,O
34,является,O
35,ориентированность,O
36,на,O
37,группу,O
38,",",O
39,а,O
40,не,O
41,личность,O
42,в,O
43,традиционном,O
44,обществе,O
45,.,O
