id,token,tag
0,Исходя,Contrib
1,из,Contrib
2,антропоцентрической,Contrib
3,картины,Contrib
4,мира,Contrib
5,",",Contrib
6,трихотомии,Contrib
7,К.,Contrib
8,Поппера,Contrib
9,",",Contrib
10,представления,Contrib
11,природы,Contrib
12,",",Contrib
13,общества,Contrib
14,",",Contrib
15,человека,Contrib
16,и,Contrib
17,психологии,Contrib
18,(,Contrib
19,науки,Contrib
20,",",Contrib
21,прикладной,Contrib
22,дисциплины,Contrib
23,и,Contrib
24,социального,Contrib
25,института,Contrib
26,),Contrib
27,как,Contrib
28,открытых,Contrib
29,саморазвивающихся,Contrib
30,человекоразмерных,Contrib
31,систем,Contrib
32,",",Contrib
33,развивающихся,Contrib
34,и,Contrib
35,становящихся,Contrib
36,в,Contrib
37,современном,Contrib
38,мире,Contrib
39,под,Contrib
40,влиянием,Contrib
41,конвергентных,Contrib
42,технологий,Contrib
43,",",Contrib
44,предложен,Contrib
45,ряд,Contrib
46,взаимосвязанных,Contrib
47,моделей,Contrib
48,",",Contrib
49,позволяющих,Contrib
50,качественно,Contrib
51,и,Contrib
52,количественно,Contrib
53,оценить,Contrib
54,их,Contrib
55,коэволюцию,Contrib
56,по,Contrib
57,Н.Н,Contrib
58,.,Contrib
59,Моисееву,Contrib
60,.,O
