id,token,tag
0,Рассматриваются,Contrib
1,социально-психологические,Contrib
2,факторы,Contrib
3,переживания,Contrib|Task
4,кризиса,Contrib|Task
5,идентичности,Contrib|Task
6,в,Contrib
7,период,Contrib
8,юношества,Contrib
9,.,O
10,Доказано,O
11,",",O
12,что,O
13,в,Conc
14,личностной,Conc
15,сфере,Conc
16,основным,Conc
17,фактором,Conc
18,переживания,Conc|Task
19,кризиса,Conc|Task
20,идентичности,Conc|Task
21,является,Conc
22,негативное,Conc
23,самоотношение,Conc
24,;,Conc
25,в,Conc
26,деятельностной,Conc
27,–,Conc
28,отсутствие,Conc
29,мотивации,Conc
30,обучения,Conc
31,в,Conc
32,высшем,Conc
33,учебном,Conc
34,заведении,Conc
35,;,Conc
36,в,Conc
37,социальной,Conc
38,сфере,Conc
39,–,Conc
40,нарушение,Conc
41,отношений,Conc
42,с,Conc
43,микросоциальным,Conc
44,окружением,Conc
45,.,O
