id,token,tag
0,В,O
1,статье,O
2,рассматриваются,Contrib
3,некоторые,Contrib
4,виды,Contrib
5,грамматических,Contrib
6,",",Contrib
7,лексических,Contrib
8,фонетических,Contrib
9,ошибок,Contrib
10,",",Contrib
11,допущенных,Contrib
12,учащимися,Contrib
13,СУНЦ,Contrib
14,НГУ,Contrib
15,в,Contrib
16,письменных,Contrib
17,работах,Contrib
18,на,Contrib
19,английском,Contrib
20,языке,Contrib
21,.,O
22,Даются,Contrib
23,примеры,Contrib
24,ошибок,Contrib
25,и,O
26,приводятся,Contrib
27,упражнения,Contrib
28,",",Contrib
29,позволяющие,Contrib
30,их,Contrib
31,устранить,Contrib
32,.,O
