id,token,tag
0,В,O
1,статье,O
2,рассматривается,Contrib
3,проблема,Contrib
4,развития,Contrib|Task
5,критического,Contrib|Task
6,мышления,Contrib|Task
7,",",Contrib
8,его,Contrib
9,роль,Contrib
10,в,Contrib
11,формировании,Contrib|Task
12,социально-профессиональной,Contrib|Task
13,компетентности,Contrib|Task
14,будущего,Contrib|Task
15,юриста,Contrib|Task
16,.,O
17,Представлен,Contrib
18,исторический,Contrib
19,опыт,Contrib
20,изучения,Contrib
21,критического,Contrib
22,мышления,Contrib
23,.,O
24,Выделены,Contrib
25,основные,Contrib
26,этапы,Contrib
27,развития,Contrib
28,исследований,Contrib
29,",",Contrib
30,их,Contrib
31,сущностные,Contrib
32,характеристики,Contrib
33,.,O
34,Рассмотрены,Contrib
35,некоторые,Contrib
36,приемы,Contrib
37,организации,Contrib|Task
38,самостоятельной,Contrib|Task
39,работы,Contrib|Task
40,обучающихся,Contrib|Task
41,.,O
