id,token,tag
0,Рассмотрена,O
1,проблема,O
2,формирования,Task
3,готовности,Task
4,к,Task
5,научно-исследовательской,Task
6,деятельности,Task
7,у,Task
8,студентов,Task
9,младших,Task
10,курсов,Task
11,",",O
12,а,O
13,также,O
14,проведено,Contrib
15,исследование,Contrib
16,с,Contrib
17,целью,Contrib
18,измерения,Contrib
19,исходного,Contrib
20,уровня,Contrib
21,сформированности,Contrib
22,готовности,Contrib
23,к,Contrib
24,научно-исследовательской,Contrib
25,деятельности,Contrib
26,у,Contrib
27,студентов,Contrib
28,специальности,Contrib
29,«,Contrib
30,профессиональное,Contrib
31,обучение,Contrib
32,(,Contrib
33,по,Contrib
34,отраслям,Contrib
35,),Contrib
36,»,Contrib
37,.,O
