id,token,tag
0,Раскрываются,Contrib
1,идеи,Contrib
2,и,Contrib
3,основания,Contrib
4,образования,Contrib
5,для,Contrib
6,устойчивого,Contrib|Task
7,развития,Contrib|Task
8,",",O
9,отмечается,O
10,его,O
11,направленность,Conc
12,на,Conc
13,созидание,Conc
14,социального,Conc
15,идеала,Conc
16,человека,Conc
17,",",Conc
18,которому,Conc
19,присущ,Conc
20,экологический,Conc
21,стиль,Conc
22,жизни,Conc
23,",",Conc
24,основанный,Conc
25,на,Conc
26,неукоснительном,Conc
27,выполнении,Conc
28,норм,Conc
29,и,Conc
30,требований,Conc
31,экологического,Conc
32,императива,Conc
33,",",O
34,рассматривается,Contrib
35,готовность,Contrib
36,отечественного,Contrib
37,образования,Contrib
38,к,Contrib
39,переходу,Contrib
40,на,Contrib
41,эту,Contrib
42,модель,Contrib
43,развития,Contrib
44,.,O
