id,token,tag
0,В,O
1,статье,O
2,идет,O
3,речь,O
4,о,O
5,состоянии,O
6,",",O
7,проблемах,O
8,и,O
9,перспективах,O
10,развития,Task
11,общего,Task
12,среднего,Task
13,образования,Task
14,в,O
15,ряде,O
16,регионов,O
17,РФ,O
18,.,O
19,Опираясь,O
20,на,O
21,результаты,O
22,широкомасштабного,O
23,социологического,O
24,исследования,O
25,",",O
26,автор,O
27,рассматривает,Contrib
28,",",Contrib
29,насколько,Contrib
30,эффективно,Contrib
31,",",Contrib
32,с,Contrib
33,точки,Contrib
34,зрения,Contrib
35,респондентов,Contrib
36,",",Contrib
37,школы,Contrib
38,выполняют,Contrib
39,свои,Contrib
40,основные,Contrib
41,функции,Contrib
42,.,O
43,Материалы,O
44,могут,O
45,представлять,O
46,определенный,O
47,интерес,O
48,для,O
49,специалистов,O
50,органов,O
51,управления,O
52,образованием,O
53,",",O
54,руководителей,O
55,ОУ,O
56,и,O
57,социологов,O
58,",",O
59,работающих,O
60,в,O
61,области,O
62,социологии,O
63,образования,O
64,.,O
