id,token,tag
0,Система,Contrib
1,концепций,Contrib
2,создания,Contrib
3,центров,Contrib
4,научно-технического,Contrib
5,творчества,Contrib
6,молодежи,Contrib
7,рассматривается,Contrib
8,как,Contrib
9,необходимая,Contrib
10,часть,Contrib
11,программы,Contrib
12,развития,Contrib|Task
13,инновационной,Contrib|Task
14,экономики,Contrib|Task
15,страны,Contrib|Task
16,.,O
17,Показано,O
18,",",O
19,что,O
20,воспитание,Conc|Task
21,творческих,Conc|Task
22,личностей,Conc|Task
23,в,Conc
24,различных,Conc
25,областях,Conc
26,деятельности,Conc
27,является,Conc
28,приоритетной,Conc
29,задачей,Conc
30,педагогики,Conc
31,и,Conc
32,государства,Conc
33,.,O
34,Обсуждаются,Contrib
35,условия,Contrib
36,",",Contrib
37,необходимые,Contrib
38,для,Contrib
39,решения,Contrib
40,этой,Contrib
41,задачи,Contrib
42,.,O
