id,token,tag
0,Статья,O
1,посвящена,O
2,проблеме,O
3,формирования,Task
4,образа,Task
5,жизни,Task
6,современных,Task
7,российских,Task
8,студентов,Task
9,",",Task
10,его,Task
11,гармонизации,Task
12,.,O
13,Приведены,O
14,результаты,O
15,диагностики,Contrib
16,состояния,Contrib
17,образа,Contrib
18,жизни,Contrib
19,омских,Contrib
20,студентов,Contrib
21,.,O
22,Осуществлен,Contrib
23,анализ,Contrib
24,характера,Contrib
25,отношений,Contrib
26,студентов,Contrib
27,с,Contrib
28,миром,Contrib
29,.,O
