id,token,tag
0,В,O
1,статье,O
2,с,Contrib
3,позиций,Contrib
4,различения,Contrib
5,наблюдателей,Contrib
6,",",Contrib
7,рассудочных,Contrib
8,аналитиков,Contrib
9,",",Contrib
10,синтетиков,Contrib
11,рассматриваются,Contrib
12,отношения,Contrib|Task
13,мужчин,Contrib|Task
14,и,Contrib|Task
15,женщин,Contrib|Task
16,",",O
17,показаны,Contrib
18,проблемы,Contrib
19,взаимоотношений,Contrib
20,",",Contrib
21,специфичные,Contrib
22,для,Contrib
23,освоения,Contrib
24,творческого,Contrib
25,поведения,Contrib
26,.,O
27,Работа,O
28,направлена,O
29,на,O
30,уменьшение,O
31,препятствий,O
32,психологическому,O
33,развитию,O
34,",",O
35,на,O
36,повышение,O
37,вероятности,O
38,правильных,O
39,выборов,O
40,близких,O
41,взаимоотношений,O
42,.,O
