id,token,tag
0,В,O
1,работе,O
2,рассматриваются,Contrib
3,проблемы,Contrib
4,углубленного,Contrib|Task
5,обучения,Contrib|Task
6,математике,Contrib|Task
7,старших,Contrib|Task
8,школьников,Contrib|Task
9,в,Contrib
10,условиях,Contrib
11,специализированного,Contrib
12,учебно-научного,Contrib
13,центра,Contrib
14,Новосибирского,Contrib
15,госуниверситета,Contrib
16,(,Contrib
17,СУНЦ,Contrib
18,),Contrib
19,.,O
20,На,O
21,примере,O
22,ряда,O
23,тем,O
24,подробно,Contrib
25,рассмотрены,Contrib
26,возникающие,Contrib
27,ошибки,Contrib
28,учащихся,Contrib
29,при,Contrib
30,решении,Contrib
31,уравнений,Contrib
32,и,Contrib
33,неравенств,Contrib
34,с,Contrib
35,модулем,Contrib
36,",",Contrib
37,иррациональных,Contrib
38,",",Contrib
39,показательных,Contrib
40,",",Contrib
41,логарифмических,Contrib
42,",",O
43,проанализированы,Contrib
44,причины,Contrib
45,их,Contrib
46,возникновения,Contrib
47,",",O
48,приведены,Contrib
49,конкретные,Contrib
50,опорные,Contrib
51,уравнения,Contrib
52,и,Contrib
53,неравенства,Contrib
54,для,Contrib
55,анализа,Contrib
56,возникающих,Contrib
57,ошибок,Contrib
58,",",Contrib
59,практической,Contrib
60,работы,Contrib
61,учителей,Contrib
62,и,Contrib
63,самостоятельной,Contrib
64,работы,Contrib
65,учащихся,Contrib
66,.,O
67,Отмечены,Contrib
68,преимущества,Contrib
69,и,Contrib
70,недостатки,Contrib
71,различных,Contrib
72,подходов,Contrib
73,к,Contrib
74,решению,Contrib|Task
75,нестандартных,Contrib|Task
76,уравнений,Contrib|Task
77,и,Contrib|Task
78,неравенств,Contrib|Task
79,.,O
80,Даны,Contrib
81,конкретные,Contrib
82,рекомендации,Contrib
83,по,Contrib
84,оптимизации,Contrib|Task
85,решений,Contrib|Task
86,.,O
87,В,O
88,работе,O
89,указаны,Contrib
90,конкретные,Contrib
91,трудности,Contrib
92,",",Contrib
93,возникающие,Contrib
94,при,Contrib
95,углубленном,Contrib
96,изучении,Contrib
97,уравнений,Contrib
98,и,Contrib
99,неравенств,Contrib
100,старшими,Contrib
101,школьниками,Contrib
102,",",Contrib
103,рекомендации,Contrib
104,по,Contrib
105,их,Contrib
106,преодолению,Contrib
107,.,O
108,Работа,O
109,отражает,O
110,современное,O
111,состояние,O
112,преподавания,O
113,математики,O
114,в,O
115,СУНЦ,O
116,НГУ,O
117,",",O
118,может,O
119,представлять,O
120,интерес,O
121,для,O
122,широкой,O
123,учительской,O
124,аудитории,O
125,.,O
