id,token,tag
0,На,O
1,основании,O
2,личного,O
3,опыта,O
4,представлено,Contrib
5,описание,Contrib
6,образовательного,Contrib
7,процесса,Contrib
8,в,Contrib
9,специализированной,Contrib
10,естественнонаучной,Contrib
11,школе,Contrib
12,для,Contrib
13,старшеклассников,Contrib
14,Республики,Contrib
15,Корея,Contrib
16,Korea,Contrib
17,Science,Contrib
18,Academy,Contrib
19,of,Contrib
20,Korea,Contrib
21,Advanced,Contrib
22,Institute,Contrib
23,of,Contrib
24,Science,Contrib
25,and,Contrib
26,Technology,Contrib
27,(,Contrib
28,KSA,Contrib
29,of,Contrib
30,KAIST,Contrib
31,),Contrib
32,",",O
33,ставшей,O
34,в,O
35,последнее,O
36,время,O
37,одной,O
38,из,O
39,лучших,O
40,школ,O
41,данного,O
42,профиля,O
43,в,O
44,мире,O
45,.,O
46,Проведен,Contrib
47,краткий,Contrib
48,анализ,Contrib
49,структуры,Contrib
50,и,Contrib
51,содержания,Contrib
52,образовательных,Contrib
53,программ,Contrib
54,по,Contrib
55,физике,Contrib
56,",",O
57,описана,Contrib
58,организация,Contrib|Task
59,научно-исследовательской,Contrib|Task
60,работы,Contrib|Task
61,со,Contrib|Task
62,школьниками,Contrib|Task
63,по,Contrib|Task
64,естественнонаучным,Contrib|Task
65,дисциплинам,Contrib|Task
66,.,O
67,Описаны,Contrib
68,структурные,Contrib
69,преобразования,Contrib
70,в,Contrib
71,управлении,Contrib
72,академией,Contrib
73,и,Contrib
74,план,Contrib
75,перспективных,Contrib
76,направлений,Contrib
77,работы,Contrib
78,на,Contrib
79,ближайшие,Contrib
80,годы,Contrib
81,.,O
82,Проведено,Contrib
83,сравнение,Contrib
84,программ,Contrib
85,обучения,Contrib
86,физике,Contrib
87,в,Contrib
88,KSA,Contrib
89,of,Contrib
90,KAIST,Contrib
91,и,Contrib
92,в,Contrib
93,СУНЦ,Contrib
94,НГУ,Contrib
95,.,O
96,Делаются,Contrib
97,выводы,Contrib
98,о,Contrib
99,мировых,Contrib
100,тенденциях,Contrib
101,в,Contrib
102,области,Contrib
103,специализированного,Contrib
104,естественнонаучного,Contrib
105,образования,Contrib
106,и,Contrib
107,перспективных,Contrib
108,преобразованиях,Contrib
109,в,Contrib
110,российских,Contrib
111,школах,Contrib
112,такого,Contrib
113,профиля,Contrib
114,.,O
