id,token,tag
0,Рассматривается,O
1,вопрос,O
2,о,O
3,природе,Task
4,и,Task
5,аспектах,Task
6,коммуникации,Task
7,в,Task
8,научной,Task
9,литературе,Task
10,",",O
11,определяется,Contrib
12,последовательность,Contrib
13,их,Contrib
14,изучения,Contrib
15,в,Contrib
16,методике,Contrib
17,обучения,Contrib|Task
18,языку,Contrib|Task
19,и,Contrib
20,методике,Contrib
21,развития,Contrib|Task
22,речи,Contrib|Task
23,.,O
24,Учет,O
25,сделанных,O
26,в,O
27,работе,O
28,выводов,O
29,поможет,O
30,педагогу,O
31,построить,O
32,процесс,O
33,обучения,O
34,с,O
35,позиций,O
36,когнитивно-коммуникативного,Method
37,подхода,Method
38,",",O
39,при,O
40,котором,O
41,развитие,Task
42,мышления,Task
43,(,Task
44,внутренней,Task
45,речи,Task
46,студентов,Task
47,),Task
48,производится,O
49,путем,O
50,развития,O
51,внешней,O
52,речи,O
53,обучающихся,O
54,.,O
