id,token,tag
0,Получены,Contrib
1,условия,Contrib
2,существования,Contrib
3,замкнутых,Contrib
4,траекторий,Contrib
5,у,Contrib
6,трехмерных,Contrib
7,нелинейных,Contrib
8,динамических,Contrib
9,систем,Contrib
10,",",Contrib
11,моделирующих,Contrib
12,генные,Contrib
13,сети,Contrib
14,",",Contrib
15,которые,Contrib
16,регулируются,Contrib
17,отрицательными,Contrib
18,обратными,Contrib
19,связями,Contrib
20,и,Contrib
21,описываемыми,Contrib
22,унимодальными,Contrib
23,функциями,Contrib
24,комбинациями,Contrib
25,положительных,Contrib
26,и,Contrib
27,отрицательных,Contrib
28,обратных,Contrib
29,связей,Contrib
30,.,O
31,Для,Contrib
32,таких,Contrib
33,динамических,Contrib
34,систем,Contrib
35,установлены,Contrib
36,также,Contrib
37,достаточные,Contrib
38,условия,Contrib
39,существования,Contrib
40,устойчивых,Contrib
41,циклов,Contrib
42,и,O
43,описаны,Contrib
44,топологические,Contrib
45,индексы,Contrib
46,их,Contrib
47,стационарных,Contrib
48,точек,Contrib
49,.,O
