id,token,tag
0,В,O
1,работе,O
2,изучается,Contrib
3,нечеткая,Contrib|Method
4,и,Contrib|Method
5,стандартная,Contrib|Method
6,модель,Contrib|Method
7,линейной,Contrib|Method
8,регрессии,Contrib|Method
9,в,Contrib
10,случае,Contrib
11,одного,Contrib
12,аргумента,Contrib
13,.,O
14,Даются,Contrib
15,геометрическая,Contrib
16,интерпретация,Contrib
17,нечеткой,Contrib|Method
18,модели,Contrib|Method
19,и,Contrib
20,ее,Contrib
21,сравнение,Contrib
22,со,Contrib
23,стандартной,Contrib|Method
24,моделью,Contrib|Method
25,линейной,Contrib|Method
26,регрессии,Contrib|Method
27,.,O
28,Исследуется,Contrib
29,вычислительная,Contrib
30,сложность,Contrib
31,нечеткой,Contrib|Method
32,модели,Contrib|Method
33,линейной,Contrib|Method
34,регрессии,Contrib|Method
35,.,O
36,Указываются,Contrib
37,эффективные,Contrib
38,алгоритмы,Contrib
39,решения,Contrib
40,",",Contrib
41,имеющие,Contrib
42,сложность,Contrib
43,порядков,Contrib
44,O,Contrib
45,(,Contrib
46,nlogn,Contrib
47,),Contrib
48,",",Contrib
49,O,Contrib
50,(,Contrib
51,n^2,Contrib
52,),Contrib
53,",",Contrib
54,и,Contrib
55,их,Contrib
56,реализация,Contrib
57,в,Contrib
58,среде,Contrib
59,MatLab,Contrib
60,.,O
