id,token,tag
0,Пусть,O
1,G,O
2,-,O
3,группа,O
4,",",O
5,а,O
6,ℜ,O
7,-,O
8,некоторое,O
9,множество,O
10,групп,O
11,.,O
12,Будем,O
13,говорить,O
14,",",O
15,что,O
16,группа,O
17,G,O
18,насыщена,O
19,группами,O
20,из,O
21,множества,O
22,групп,O
23,ℜ,O
24,",",O
25,если,O
26,любая,O
27,конечная,O
28,подгруппа,O
29,из,O
30,G,O
31,содержится,O
32,в,O
33,подгруппе,O
34,группы,O
35,G,O
36,",",O
37,изоморфной,O
38,некоторой,O
39,группе,O
40,из,O
41,ℜ.,O
42,В,O
43,работе,O
44,доказывается,O
45,",",O
46,что,O
47,периодическая,Conc
48,группа,Conc
49,Шункова,Conc
50,",",Conc
51,насыщенная,Conc
52,группами,Conc
53,из,Conc
54,множества,Conc
55,ℜ,Conc
56,=,Conc
57,{,Conc
58,L2,Conc
59,(,Conc
60,5,Conc
61,),Conc
62,×,Conc
63,In,Conc
64,},Conc
65,",",Conc
66,где,Conc
67,In,Conc
68,-,Conc
69,прямое,Conc
70,произведение,Conc
71,n,Conc
72,экземпляров,Conc
73,групп,Conc
74,порядка,Conc
75,2,Conc
76,",",Conc
77,является,Conc
78,локально,Conc
79,конечной,Conc
80,.,O
