id,token,tag
0,Объектами,O
1,исследования,O
2,данной,O
3,работы,O
4,являются,O
5,процессы,O
6,",",O
7,происходящие,O
8,в,O
9,кровеносной,O
10,системе,O
11,человека,O
12,.,O
13,В,O
14,работе,O
15,рассматриваются,Contrib
16,три,Contrib
17,модели,Contrib
18,сердечно-сосудистой,Contrib
19,системы,Contrib
20,человека,Contrib
21,",",Contrib
22,которые,Contrib
23,представлены,Contrib
24,системами,Contrib|Method
25,алгебро-дифференциальных,Contrib|Method
26,уравнений,Contrib|Method
27,.,O
28,Основной,O
29,целью,O
30,работы,O
31,является,O
32,численный,Contrib
33,анализ,Contrib
34,этих,Contrib
35,моделей,Contrib
36,",",O
37,а,O
38,также,O
39,поиск,Contrib
40,возможности,Contrib
41,их,Contrib
42,сопряжения,Contrib
43,",",Contrib
44,интегрирования,Contrib
45,в,Contrib
46,одно,Contrib
47,целое,Contrib
48,.,O
49,В,O
50,итоге,O
51,была,O
52,получена,Contrib
53,комплексная,Contrib
54,модель,Contrib
55,сердечно-сосудистой,Contrib
56,системы,Contrib
57,человека,Contrib
58,",",O
59,которая,O
60,позволяет,O
61,проследить,O
62,динамику,O
63,изменения,O
64,артериального,O
65,давления,O
66,",",O
67,потока,O
68,крови,O
69,и,O
70,площади,O
71,сечения,O
72,в,O
73,течение,O
74,достаточно,O
75,большого,O
76,промежутка,O
77,времени,O
78,(,O
79,несколько,O
80,недель,O
81,!,O
82,),O
83,в,O
84,каждой,O
85,точке,O
86,каждой,O
87,артерии,O
88,человека,O
89,",",O
90,страдающего,O
91,различными,O
92,патологиями,O
93,кровеносной,O
94,системы,O
95,.,O
96,Комплексная,O
97,модель,O
98,позволяет,O
99,рассчитать,O
100,широкий,O
101,спектр,O
102,состояний,O
103,и,O
104,патологий,O
105,",",O
106,что,O
107,дает,O
108,возможность,O
109,в,O
110,биологии,O
111,и,O
112,медицине,O
113,детально,O
114,изучать,O
115,различные,O
116,заболевания,O
117,кровеносной,O
118,системы,O
119,человека,O
120,.,O
