id,token,tag
0,Доказана,Contrib
1,теорема,Contrib
2,о,Contrib
3,существовании,Contrib
4,циклов,Contrib
5,у,Contrib
6,нечетномерных,Contrib
7,нелинейных,Contrib
8,динамических,Contrib
9,систем,Contrib
10,",",Contrib
11,моделирующих,Contrib
12,функционирование,Contrib
13,генных,Contrib
14,сетей,Contrib
15,c,Contrib
16,отрицательными,Contrib
17,обратными,Contrib
18,связями,Contrib
19,.,O
20,Для,Contrib
21,таких,Contrib
22,систем,Contrib
23,получены,Contrib
24,также,Contrib
25,достаточные,Contrib
26,условия,Contrib
27,существования,Contrib
28,устойчивого,Contrib
29,цикла,Contrib
30,.,O
31,Описаны,Contrib
32,обобщения,Contrib
33,полученных,Contrib
34,результатов,Contrib
35,на,Contrib
36,некоторые,Contrib
37,другие,Contrib
38,классы,Contrib
39,моделей,Contrib
40,генных,Contrib
41,сетей,Contrib
42,.,O
