id,token,tag
0,В,O
1,работе,O
2,получены,Contrib
3,новые,Contrib
4,представления,Contrib
5,решений,Contrib
6,",",Contrib
7,коэффициентов,Contrib
8,",",Contrib
9,символов,Contrib
10,операторов,Contrib
11,эволюционных,Contrib
12,уравнений,Contrib
13,.,O
14,Даны,Contrib
15,некоторые,Contrib
16,приложения,Contrib
17,полученных,Contrib
18,формул,Contrib
19,к,Contrib
20,обратным,Contrib
21,задачам,Contrib
22,.,O
23,В,O
24,частности,O
25,",",O
26,получены,Contrib
27,формулы,Contrib
28,характеризующие,Contrib
29,параметры,Contrib
30,этнических,Contrib
31,процессов,Contrib
32,.,O
