id,token,tag
0,Рассматривается,O
1,психологический,Task
2,комплекс,Task
3,виктимности,Task
4,",",O
5,включающий,O
6,в,O
7,себя,O
8,один,O
9,выраженный,O
10,или,O
11,совокупность,O
12,нескольких,O
13,типов,O
14,виктимного,O
15,поведения,O
16,.,O
17,Тип,O
18,виктимного,O
19,поведения,O
20,проявляется,O
21,при,O
22,взаимодействии,O
23,несовершеннолетнего,O
24,или,O
25,малолетнего,O
26,с,O
27,преступником,O
28,и,O
29,способствует,O
30,совершению,O
31,противоправных,O
32,действий,O
33,",",O
34,в,O
35,том,O
36,числе,O
37,сексуального,O
38,характера,O
39,.,O
40,Статья,O
41,акцентирует,Contrib
42,внимание,Contrib
43,на,Contrib
44,доказанной,Contrib
45,взаимосвязи,Contrib
46,преступника,Contrib
47,",",Contrib
48,жертвы,Contrib
49,и,Contrib
50,ситуации,Contrib
51,.,O
52,Образование,O
53,и,O
54,функционирование,O
55,единой,O
56,и,O
57,подвижной,O
58,криминальной,O
59,системы,O
60,определяет,O
61,возможность,O
62,реализации,O
63,противоправных,O
64,действий,O
65,.,O
66,В,O
67,статье,O
68,рассматривается,Contrib
69,значение,Contrib
70,поведения,Contrib
71,жертвы,Contrib
72,в,Contrib
73,качестве,Contrib
74,пускового,Contrib
75,механизма,Contrib
76,к,Contrib
77,совершению,Contrib
78,преступлений,Contrib
79,.,O
80,Автор,O
81,обращает,Contrib
82,внимание,Contrib
83,на,Contrib
84,провоцирующее,Contrib
85,поведение,Contrib
86,преступника,Contrib
87,при,Contrib
88,совершении,Contrib
89,преступлений,Contrib
90,сексуального,Contrib
91,характера,Contrib
92,.,O
93,Представленный,Conc|Contrib
94,психологический,Conc|Contrib
95,комплекс,Conc|Contrib
96,виктимности,Conc|Contrib
97,",",Conc|Contrib
98,проявляющийся,Conc|Contrib
99,в,Conc|Contrib
100,поведенческих,Conc|Contrib
101,реакциях,Conc|Contrib
102,несовершеннолетнего,Conc|Contrib
103,и,Conc|Contrib
104,малолетнего,Conc|Contrib
105,при,Conc|Contrib
106,взаимодействии,Conc|Contrib
107,с,Conc|Contrib
108,преступником,Conc|Contrib
109,",",Conc
110,состоит,Conc
111,",",Conc
112,в,Conc
113,зависимости,Conc
114,от,Conc
115,возраста,Conc
116,жертвы,Conc
117,",",Conc
118,из,Conc
119,пассивно-подчиняемого,Conc
120,типа,Conc
121,",",Conc
122,депривированного,Conc
123,типа,Conc
124,",",Conc
125,инцестного,Conc
126,типа,Conc
127,",",Conc
128,типа,Conc
129,с,Conc
130,незрелой,Conc
131,эротической,Conc
132,идентичностью,Conc
133,в,Conc
134,сочетании,Conc
135,с,Conc
136,псевдопровоцирующим,Conc
137,типом,Conc
138,и,Conc
139,несоциализированного,Conc
140,или,Conc
141,слабо,Conc
142,социализированного,Conc
143,типа,Conc
144,поведения,Conc
145,.,O
