id,token,tag
0,Перечисляются,Contrib
1,международно-правовые,Contrib
2,основания,Contrib
3,заключения,Contrib
4,двусторонних,Contrib
5,неравноправных,Contrib
6,политических,Contrib
7,союзов,Contrib
8,и,O
9,рассматриваются,O
10,союзы,O
11,",",O
12,заключенные,O
13,США,O
14,",",O
15,Нидерландами,O
16,",",O
17,Новой,O
18,Зеландией,O
19,и,O
20,малыми,O
21,европейскими,O
22,странами,O
23,.,O
24,Автор,O
25,приходит,O
26,к,O
27,выводу,O
28,о,O
29,том,O
30,",",O
31,что,O
32,двусторонние,Conc
33,неравноправные,Conc
34,политические,Conc
35,союзы,Conc
36,отражают,Conc
37,местную,Conc
38,специфику,Conc
39,и,O
40,их,Conc
41,содержание,Conc
42,не,Conc
43,является,Conc
44,унифицированным,Conc
45,.,O
