id,token,tag
0,Анализируются,O
1,некоторые,O
2,проблемы,O
3,правого,Task
4,регулирования,Task
5,организации,Task
6,и,Task
7,деятельности,Task
8,контрольно-счетных,Task
9,органов,Task
10,муниципальных,Task
11,образований,Task
12,и,O
13,возникающие,O
14,в,O
15,связи,O
16,с,O
17,этим,O
18,в,O
19,деятельности,O
20,судебных,O
21,органов,O
22,проблемы,O
23,применения,Task
24,правовых,Task
25,норм,Task
26,.,O
27,Рассматривается,O
28,вопрос,O
29,об,O
30,обязательности,Task
31,создания,Task
32,контрольно-счетного,Task
33,органа,Task
34,в,Task
35,каждом,Task
36,муниципальном,Task
37,образовании,Task
38,.,O
39,Так,O
40,",",O
41,в,Conc
42,основополагающих,Conc
43,нормативных,Conc
44,правовых,Conc
45,актах,Conc
46,",",Conc
47,регулирующих,Conc
48,вопросы,Conc
49,организации,Conc
50,и,Conc
51,деятельности,Conc
52,контрольно-счетных,Conc
53,органов,Conc
54,муниципальных,Conc
55,образований,Conc
56,",",Conc
57,содержатся,Conc
58,противоречивые,Conc
59,требования,Conc
60,.,O
61,Действующие,Conc
62,правовые,Conc
63,нормы,Conc
64,позволяют,Conc
65,судебным,Conc
66,органам,Conc
67,в,Conc
68,одном,Conc
69,случае,Conc
70,возложить,Conc
71,на,Conc
72,муниципальное,Conc
73,образование,Conc
74,обязанность,Conc
75,по,Conc
76,созданию,Conc
77,контрольно-счетного,Conc
78,органа,Conc
79,",",Conc
80,а,Conc
81,в,Conc
82,другом,Conc
83,–,Conc
84,признать,Conc
85,вопрос,Conc
86,создания,Conc
87,контрольно-счетного,Conc
88,органа,Conc
89,правом,Conc
90,муниципального,Conc
91,образования,Conc
92,",",O
93,т.,O
94,е.,O
95,сложившееся,Conc
96,правовое,Conc
97,регулирование,Conc
98,не,Conc
99,является,Conc
100,определенным,Conc
101,и,Conc
102,системным,Conc
103,.,O
104,Учитывая,O
105,требования,O
106,о,O
107,необходимости,O
108,осуществления,O
109,действенного,O
110,и,O
111,эффективного,O
112,контроля,O
113,за,O
114,средствами,O
115,местного,O
116,бюджета,O
117,",",O
118,а,O
119,также,O
120,практику,O
121,муниципальных,O
122,образований,O
123,по,O
124,созданию,O
125,контрольно-счетных,O
126,органов,O
127,",",O
128,автор,O
129,предлагает,Contrib
130,возможные,Contrib
131,способы,Contrib
132,устранения,Contrib|Task
133,противоречий,Contrib|Task
134,в,Contrib|Task
135,предписаниях,Contrib|Task
136,соответствующих,Contrib|Task
137,правовых,Contrib|Task
138,норм,Contrib|Task
139,.,O
