id,token,tag
0,Статья,O
1,посвящена,O
2,вопросам,O
3,происхождения,O
4,естественного,O
5,языка,O
6,",",O
7,выведению,Task
8,грамматических,Task
9,категорий,Task
10,и,O
11,новым,Task
12,методам,Task
13,обучения,Task
14,русско-английскому,Task
15,и,Task
16,англо-русскому,Task
17,переводу,Task
18,с,Task
19,использованием,Task
20,математических,Task
21,принципов,Task
22,алгоритмизации,Task
23,(,Task
24,перевода,Task
25,),Task
26,.,O
27,Дается,Contrib
28,теоретическое,Contrib
29,обоснование,Contrib
30,активной,Contrib
31,и,Contrib
32,пассивной,Contrib
33,грамматик,Contrib
34,",",Contrib
35,показаны,Contrib
36,возможные,Contrib
37,варианты,Contrib
38,их,Contrib
39,практического,Contrib
40,использования,Contrib
41,в,Contrib
42,учебном,Contrib
43,процессе,Contrib
44,",",O
45,в,O
46,том,O
47,числе,O
48,с,O
49,использованием,O
50,компьютерных,O
51,программ,O
52,.,O
