id,token,tag
0,Статья,O
1,посвящена,O
2,решению,O
3,задачи,O
4,повышения,Task
5,эффективности,Task
6,распределенных,Task
7,баз,Task
8,данных,Task
9,.,O
10,<,O
11,Conс,O
12,>,O
13,Для,O
14,увеличения,Task
15,производительности,Task
16,выполнения,Task
17,запросов,Task
18,необходимо,O
19,искать,O
20,решения,O
21,",",O
22,анализируя,O
23,процесс,O
24,выполнения,O
25,запросов,O
26,сервером,O
27,—,O
28,заменять,O
29,запросы,O
30,с,O
31,выборкой,O
32,без,O
33,повторений,O
34,",",O
35,использовать,O
36,индексы,O
37,",",O
38,оптимизировать,O
39,структуру,O
40,базы,O
41,данных,O
42,на,O
43,этапе,O
44,физического,O
45,проектирования,O
46,<,O
47,/Conс,O
48,>,O
49,.,O
