id,token,tag
0,В,O
1,работе,O
2,рассмотрены,O
3,вопросы,O
4,оценки,Task
5,поведения,Task
6,сетевого,Task
7,трафика,Task
8,",",O
9,обладающего,O
10,самоподобными,O
11,свойствами,O
12,и,O
13,анализа,O
14,полученных,O
15,данных,O
16,.,O
17,Полученные,O
18,результаты,O
19,дают,O
20,характеристику,O
21,производительности,O
22,работы,O
23,компьютерной,O
24,сети,O
25,.,O
26,Целью,O
27,данного,O
28,исследования,O
29,было,O
30,определение,Task
31,условия,Task
32,возникновения,Task
33,хаотических,Task
34,явлений,Task
35,в,Task
36,инфокоммуникационных,Task
37,системах,Task
38,и,O
39,способы,O
40,уменьшения,Task
41,их,Task
42,влияния,Task
43,на,Task
44,пропускную,Task
45,способность,Task
46,таких,Task
47,систем,Task
48,.,O
49,На,O
50,данный,O
51,момент,O
52,протокол,O
53,TCP,O
54,является,O
55,основным,O
56,протоколом,O
57,передачи,O
58,данных,O
59,",",O
60,считающийся,O
61,основной,O
62,причиной,O
63,самоподобия,O
64,трафика,O
65,",",O
66,поскольку,O
67,статистические,O
68,характеристики,O
69,такого,O
70,трафика,O
71,обладают,O
72,свойством,O
73,временной,O
74,масштабной,O
75,инвариантности,O
76,(,O
77,самоподобием,O
78,),O
79,.,O
80,Этот,O
81,факт,O
82,был,O
83,подтвержден,O
84,многочисленными,O
85,исследованиями,O
86,процессов,O
87,в,O
88,глобальной,O
89,сети,O
90,Internet,O
91,.,O
92,В,O
93,работе,O
94,проведена,Contrib
95,оценка,Contrib
96,работы,Contrib
97,модельной,Contrib
98,компьютерной,Contrib
99,сети,Contrib
100,с,O
101,помощью,O
102,метода,Method
103,мультифрактального,Method
104,анализа,Method
105,и,O
106,методов,Method
107,нелинейной,Method
108,динамики,Method
109,",",O
110,которые,O
111,используются,O
112,для,O
113,моделирования,O
114,",",O
115,анализа,O
116,и,O
117,контроля,O
118,сложных,O
119,систем,O
120,в,O
121,различных,O
122,областях,O
123,науки,O
124,и,O
125,техники,O
126,.,O
127,С,O
128,ростом,O
129,глобальной,O
130,сети,O
131,Internet,O
132,увеличивается,O
133,нагрузка,O
134,на,O
135,каналы,O
136,связи,O
137,",",O
138,что,O
139,в,O
140,свою,O
141,очередь,O
142,накладывает,O
143,более,O
144,жесткие,O
145,требования,O
146,к,O
147,качеству,O
148,обслуживания,O
149,(,O
150,QoS,O
151,),O
152,.,O
153,Поскольку,O
154,сетевой,O
155,трафик,O
156,обладает,O
157,самоподобием,O
158,",",O
159,то,O
160,игнорирование,O
161,подобных,O
162,особенностей,O
163,может,O
164,привести,O
165,к,O
166,увеличению,O
167,задержки,O
168,в,O
169,передаче,O
170,данных,O
171,",",O
172,уменьшению,O
173,пропускной,O
174,способности,O
175,компьютерной,O
176,сети,O
177,и,O
178,даже,O
179,к,O
180,потерям,O
181,пакетов,O
182,.,O
183,Это,O
184,накладывает,O
185,определенные,O
186,ограничения,O
187,на,O
188,традиционные,O
189,методы,O
190,при,O
191,проектировании,O
192,современных,O
193,компьютерных,O
194,сетей,O
195,.,O
196,В,O
197,работе,O
198,предложен,Contrib
199,метод,Contrib
200,анализа,Contrib
201,производительности,Contrib
202,компьютерных,Contrib
203,сетей,Contrib
204,",",Contrib
205,учитывающий,Contrib
206,особенности,Contrib
207,протекающих,Contrib
208,в,Contrib
209,них,Contrib
210,процессов,Contrib
211,.,O
212,Данная,O
213,методика,O
214,дает,O
215,возможность,O
216,дальнейшего,O
217,прогнозирования,O
218,поведения,O
219,сетевого,O
220,трафика,O
221,при,O
222,изменении,O
223,ключевых,O
224,параметров,O
225,",",O
226,влияющих,O
227,на,O
228,работу,O
229,сети,O
230,",",O
231,а,O
232,также,O
233,предотвращения,O
234,сетевых,O
235,перегрузок,O
236,и,O
237,минимизации,O
238,хаотических,O
239,явлений,O
240,.,O
