id,token,tag
0,Статья,O
1,посвящена,O
2,философскому,Contrib
3,осмыслению,Contrib
4,проблемы,Contrib
5,внедрения,Contrib|Task
6,информационных,Contrib|Task
7,технологий,Contrib|Task
8,в,Contrib|Task
9,процесс,Contrib|Task
10,обучения,Contrib|Task
11,.,O
12,Рассмотрены,Contrib
13,различные,Contrib
14,направления,Contrib
15,",",Contrib
16,достижения,Contrib
17,",",Contrib
18,проблемы,Contrib
19,и,Contrib
20,постулаты,Contrib
21,современного,Contrib
22,образования,Contrib
23,",",Contrib
24,в,Contrib
25,том,Contrib
26,числе,Contrib
27,и,Contrib
28,не,Contrib
29,подлежащие,Contrib
30,компьютеризации,Contrib
31,.,O
