id,token,tag
0,Статья,O
1,посвящена,O
2,исследованию,Contrib
3,вертикального,Contrib
4,полета,Contrib
5,аппарата,Contrib
6,с,Contrib
7,машущим,Contrib
8,крылом,Contrib
9,",",O
10,также,O
11,называемого,O
12,орнитоптером,O
13,.,O
14,Робот,O
15,представляет,O
16,собой,O
17,цепочку,O
18,пяти,O
19,последовательно,O
20,соединенных,O
21,активными,O
22,цилиндрическими,O
23,шарнирами,O
24,звеньев,O
25,",",O
26,центральное,O
27,из,O
28,которых,O
29,является,O
30,корпусом,O
31,",",O
32,а,O
33,остальные,O
34,попарно,O
35,образуют,O
36,складывающиеся,O
37,крылья,O
38,.,O
39,Особенность,O
40,рассматриваемого,O
41,устройства,O
42,заключается,O
43,в,O
44,том,O
45,",",O
46,что,O
47,взмахи,O
48,его,O
49,крыльев,O
50,имитируют,O
51,движение,O
52,крыльев,O
53,чайки,O
54,",",O
55,т.,O
56,е.,O
57,у,O
58,объекта,O
59,есть,O
60,биологический,O
61,прототип,O
62,.,O
63,Для,Contrib
64,аппарата,Contrib
65,разработана,Contrib
66,математическая,Contrib
67,модель,Contrib
68,полета,Contrib
69,",",O
70,большое,Contrib
71,внимание,Contrib
72,уделено,Contrib
73,модели,Contrib
74,взаимодействия,Contrib
75,звеньев,Contrib
76,робота,Contrib
77,с,Contrib
78,воздушной,Contrib
79,средой,Contrib
80,",",O
81,определены,Contrib
82,положения,Contrib
83,и,Contrib
84,скорости,Contrib
85,точек,Contrib
86,приложения,Contrib
87,приведенных,Contrib
88,аэродинамических,Contrib
89,сил,Contrib
90,к,Contrib
91,каждому,Contrib
92,из,Contrib
93,звеньев,Contrib
94,.,O
95,На,O
96,основании,O
97,результатов,O
98,численного,Contrib
99,моделирования,Contrib
100,вертикального,Contrib
101,полета,Contrib
102,робота,Contrib
103,установлено,Conc
104,наличие,Conc
105,трех,Conc
106,режимов,Conc
107,полета,Conc
108,:,Conc
109,подъем,Conc
110,",",Conc
111,зависание,Conc
112,на,Conc
113,некоторой,Conc
114,высоте,Conc
115,и,Conc
116,снижение,Conc
117,",",Conc
118,на,Conc
119,нахождение,Conc
120,устройства,Conc
121,в,Conc
122,одном,Conc
123,из,Conc
124,указанных,Conc
125,режимов,Conc
126,влияют,Conc
127,параметры,Conc
128,колебаний,Conc
129,крыльев,Conc
130,",",Conc
131,а,Conc
132,именно,Conc
133,частота,Conc
134,и,Conc
135,амплитуда,Conc
136,взмахов,Conc
137,",",Conc
138,соотношение,Conc
139,амплитуд,Conc
140,колебаний,Conc
141,двух,Conc
142,звеньев,Conc
143,одного,Conc
144,крыла,Conc
145,и,Conc
146,смещение,Conc
147,относительно,Conc
148,нуля,Conc
149,положения,Conc
150,равновесия,Conc
151,колебаний,Conc
152,крыльев,Conc
153,.,O
