id,token,tag
0,Настоящий,O
1,обзор,O
2,посвящен,O
3,наиболее,O
4,значимым,O
5,исследованиям,O
6,процессов,O
7,теплового,O
8,влияния,O
9,лесных,O
10,пожаров,O
11,на,O
12,ткани,O
13,человека,O
14,(,O
15,особенно,O
16,на,O
17,кожные,O
18,покровы,O
19,),O
20,.,O
21,Проведен,Contrib
22,анализ,Contrib
23,различных,Contrib
24,исследований,Contrib
25,",",Contrib
26,выполненных,Contrib
27,с,Contrib
28,середины,Contrib
29,ХХ,Contrib
30,века,Contrib
31,по,Contrib
32,настоящее,Contrib
33,время,Contrib
34,.,O
35,Рассматривается,Contrib
36,общая,Contrib
37,характеристика,Contrib
38,лесных,Contrib
39,пожаров,Contrib
40,и,Contrib
41,их,Contrib
42,основные,Contrib
43,типы,Contrib
44,.,O
45,Выделены,Contrib
46,основные,Contrib
47,методы,Contrib
48,и,Contrib
49,подходы,Contrib
50,",",Contrib
51,использующиеся,Contrib
52,при,Contrib
53,исследовании,Contrib
54,проблемы,Contrib
55,теплового,Contrib
56,воздействия,Contrib
57,лесных,Contrib
58,пожаров,Contrib
59,на,Contrib
60,ткани,Contrib
61,человека,Contrib
62,.,O
63,Рассматриваются,Contrib
64,инструментальные,Contrib
65,",",Contrib
66,расчетные,Contrib
67,и,Contrib
68,расчетно-экспериментальные,Contrib
69,методы,Contrib
70,для,Contrib
71,анализа,Contrib
72,проблемы,Contrib
73,оценки,Contrib
74,теплового,Contrib
75,воздействия,Contrib
76,лесных,Contrib
77,пожаров,Contrib
78,на,Contrib
79,ткани,Contrib
80,человека,Contrib
81,.,O
82,Предлагается,Contrib
83,в,Contrib
84,качестве,Contrib
85,основного,Contrib
86,метода,Contrib
87,использовать,Contrib
88,подход,Contrib|Method
89,математического,Contrib|Method
90,моделирования,Contrib|Method
91,для,Contrib
92,исследования,Contrib
93,указанной,Contrib
94,проблемы,Contrib
95,.,O
96,Рассматриваются,Contrib
97,перспективы,Contrib
98,разработки,Contrib
99,программных,Contrib
100,компонент,Contrib
101,",",Contrib
102,реализующих,Contrib
103,математические,Contrib
104,модели,Contrib
105,теплового,Contrib
106,воздействия,Contrib
107,лесных,Contrib
108,пожаров,Contrib
109,на,Contrib
110,ткани,Contrib
111,человека,Contrib
112,.,O
113,Такие,O
114,программные,O
115,реализации,O
116,проблемно-ориентированных,O
117,алгоритмов,O
118,могут,O
119,стать,O
120,основой,O
121,для,O
122,создания,O
123,медицинских,O
124,информационных,O
125,систем,O
126,для,O
127,нужд,O
128,МЧС,O
129,и,O
130,скорой,O
131,медицинской,O
132,помощи,O
133,при,O
134,минимизации,O
135,и,O
136,ликвидации,O
137,социального,O
138,ущерба,O
139,от,O
140,лесных,O
141,пожаров,O
142,.,O
