id,token,tag
0,В,O
1,статье,O
2,рассматриваются,Contrib
3,облачные,Contrib
4,сервисы,Contrib
5,как,Contrib
6,сегмент,Contrib
7,рынка,Contrib
8,информационных,Contrib
9,услуг,Contrib
10,.,O
11,Проведен,Contrib
12,анализ,Contrib
13,тенденций,Contrib
14,развития,Contrib
15,облачных,Contrib
16,вычислений,Contrib
17,",",O
18,выявлены,Contrib
19,тренды,Contrib
20,роста,Contrib
21,различных,Contrib
22,видов,Contrib
23,услуг,Contrib
24,.,O
25,Проанализированы,Contrib
26,характеристики,Contrib
27,облачных,Contrib
28,услуг,Contrib
29,.,O
