id,token,tag
0,Рассматривается,Contrib
1,вопрос,Contrib
2,идентификации,Contrib
3,математической,Contrib
4,модели,Contrib
5,",",Contrib
6,имитирующей,Contrib
7,технологический,Contrib
8,процесс,Contrib
9,блока,Contrib
10,каталитического,Contrib
11,риформинга,Contrib
12,.,O
13,Структурная,O
14,и,O
15,параметрическая,O
16,идентификация,O
17,проводится,O
18,по,O
19,квази-экспериментальным,O
20,данным,O
21,",",O
22,описывающим,O
23,фазовую,O
24,траекторию,O
25,движения,O
26,объекта,O
27,управления,O
28,в,O
29,фазовом,O
30,пространстве,O
31,динамической,O
32,системы,O
33,.,O
34,Показано,O
35,успешное,O
36,применение,O
37,инженерного,Method
38,подхода,Method
39,в,O
40,описании,O
41,сложного,O
42,технологического,O
43,процесса,O
44,с,O
45,помощью,O
46,экспериментально-аналитического,Method
47,метода,Method
48,разработки,O
49,предикативной,O
50,модели,O
51,.,O
