id,token,tag
0,В,O
1,статье,O
2,описан,Contrib
3,опыт,Contrib
4,реализации,Contrib
5,информационной,Contrib
6,системы,Contrib
7,«,Contrib
8,Электронное,Contrib
9,студенческое,Contrib
10,портфолио,Contrib
11,»,Contrib
12,.,O
13,Информационная,O
14,система,O
15,учитывает,O
16,потребности,O
17,всех,O
18,заинтересованных,O
19,сторон,O
20,:,O
21,отдельных,O
22,лиц,O
23,",",O
24,образовательных,O
25,учреждений,O
26,",",O
27,потенциальных,O
28,работодателей,O
29,",",O
30,позволяет,O
31,структурировать,O
32,",",O
33,хранить,O
34,",",O
35,поддерживать,O
36,",",O
37,обмениваться,O
38,",",O
39,получать,O
40,доступ,O
41,",",O
42,распространять,O
43,и,O
44,оценивать,O
45,содержащуюся,O
46,в,O
47,ней,O
48,информацию,O
49,о,O
50,достижениях,O
51,студентов,O
52,.,O
53,Разработанная,O
54,система,O
55,независима,O
56,от,O
57,конкретной,O
58,образовательной,O
59,организации,O
60,",",O
61,опирается,O
62,на,O
63,общепризнанные,O
64,форматы,O
65,для,O
66,представления,O
67,информации,O
68,о,O
69,деятельности,O
70,студентов,O
71,",",O
72,обеспечивает,O
73,переносимость,O
74,данных,O
75,.,O
76,Информационная,O
77,система,O
78,предоставляет,O
79,возможность,O
80,автоматизировать,O
81,процесс,O
82,выбора,O
83,кандидатов,O
84,на,O
85,повышенные,O
86,академические,O
87,стипендии,O
88,и,O
89,обеспечивает,O
90,информационную,O
91,поддержку,O
92,проводимых,O
93,конкурсов,O
94,и,O
95,их,O
96,прозрачность,O
97,.,O
98,При,O
99,создании,O
100,веб-приложения,O
101,был,O
102,использован,O
103,опыт,O
104,",",O
105,полученный,O
106,при,O
107,разработке,O
108,и,O
109,эксплуатации,O
110,информационно-аналитической,O
111,системы,O
112,«,O
113,Результаты,O
114,научной,O
115,деятельности,O
116,»,O
117,Астраханского,O
118,государственного,O
119,университета,O
120,.,O
