id,token,tag
0,В,O
1,статье,O
2,приведен,Contrib
3,сравнительный,Contrib
4,анализ,Contrib
5,основных,Contrib
6,нейроэволюционных,Contrib
7,методов,Contrib
8,",",O
9,активно,O
10,применяющихся,O
11,для,O
12,интеллектуализации,Task
13,систем,Task
14,поддержки,Task
15,принятия,Task
16,решений,Task
17,в,Task
18,условиях,Task
19,неопределенности,Task
20,.,O
21,На,O
22,основании,O
23,анализа,O
24,предложен,Contrib
25,новый,Contrib
26,нейроэволюционный,Contrib
27,метод,Contrib
28,",",O
29,предназначенный,O
30,для,O
31,модификации,O
32,как,O
33,топологии,O
34,",",O
35,так,O
36,и,O
37,параметров,O
38,нейросети,O
39,",",O
40,и,O
41,не,O
42,накладывающий,O
43,дополнительных,O
44,ограничений,O
45,на,O
46,особь,O
47,.,O
48,Представлены,O
49,результаты,O
50,экспериментальной,O
51,оценки,O
52,эффективности,O
53,методов,O
54,",",O
55,проводившейся,O
56,на,O
57,серии,O
58,эталонных,O
59,нейроэволюционных,O
60,задач,O
61,адаптивного,O
62,управления,O
63,",",O
64,классификации,O
65,и,O
66,восстановления,O
67,поврежденных,O
68,данных,O
69,.,O
70,В,O
71,качестве,O
72,критериев,O
73,оценки,O
74,методов,O
75,были,O
76,использованы,O
77,количество,O
78,неудачных,O
79,запусков,O
80,и,O
81,общее,O
82,количество,O
83,эпох,O
84,эволюции,O
85,.,O
