id,token,tag
0,Для,O
1,исследования,O
2,алгоритмов,O
3,построения,O
4,схем,O
5,реляционных,O
6,баз,O
7,данных,O
8,необходимо,O
9,значительное,O
10,количество,O
11,тестовых,O
12,данных,O
13,.,O
14,Предлагается,Contrib
15,свести,Contrib
16,задачу,Contrib
17,генерации,Contrib
18,входных,Contrib
19,данных,Contrib
20,к,Contrib
21,генерации,Contrib
22,формализованной,Contrib
23,предметной,Contrib
24,области,Contrib
25,",",O
26,что,O
27,обеспечивает,O
28,необходимый,O
29,объем,O
30,данных,O
31,без,O
32,учета,O
33,смысла,O
34,сгенерированной,O
35,семантической,O
36,информации,O
37,.,O
38,Разработан,Contrib
39,алгоритм,Contrib
40,генерации,Contrib
41,предметных,Contrib
42,областей,Contrib
43,с,Contrib
44,различными,Contrib
45,количественными,Contrib
46,характеристиками,Contrib
47,.,O
