id,token,tag
0,В,O
1,статье,O
2,рассматривается,Contrib
3,продукционный,Contrib|Method
4,метод,Contrib|Method
5,описания,Contrib
6,автоматических,Contrib
7,регуляторов,Contrib
8,в,Contrib
9,гибридных,Contrib
10,системах,Contrib
11,цифрового,Contrib
12,управления,Contrib
13,непрерывными,Contrib
14,объектами,Contrib
15,.,O
16,Моделью,O
17,устройства,O
18,управления,O
19,служит,O
20,алгоритм,O
21,его,O
22,работы,O
23,в,O
24,виде,O
25,системы,O
26,продукций,O
27,как,O
28,набора,O
29,правил,O
30,вида,O
31,«,O
32,условие—действие,O
33,»,O
34,.,O
35,Демонстрируются,O
36,преимущества,O
37,такого,O
38,подхода,O
39,в,O
40,задачах,O
41,анализа,O
42,и,O
43,синтеза,O
44,гибридных,O
45,непрерывно-дискретных,O
46,систем,O
47,управления,O
48,.,O
