id,token,tag
0,Статья,O
1,посвящена,O
2,актуальным,O
3,вопросам,O
4,формирования,Task
5,авторского,Task
6,бренда,Task
7,.,O
8,На,O
9,примере,O
10,зарубежных,O
11,проектов,O
12,рассматривается,Contrib
13,издательская,Contrib
14,интерпретация,Contrib
15,произведений,Contrib
16,британских,Contrib
17,авторов,Contrib
18,.,O
19,Изучение,O
20,зарубежного,O
21,издательского,O
22,опыта,O
23,создания,O
24,авторских,O
25,брендов,O
26,представляет,O
27,особый,O
28,интерес,O
29,для,O
30,казахстанского,O
31,книгоиздания,O
32,",",O
33,активно,O
34,строящего,O
35,новую,O
36,издательскую,O
37,политику,O
38,в,O
39,области,O
40,промоушена,O
41,и,O
42,рекламы,O
43,.,O
