id,token,tag
0,Анализируются,Contrib
1,исторический,Contrib
2,контекст,Contrib
3,и,Contrib
4,механизмы,Contrib
5,воздействия,Contrib
6,масс-медиа,Contrib
7,на,Contrib
8,конструирование,Contrib
9,и,Contrib
10,поддержание,Contrib
11,украинской,Contrib
12,национальной,Contrib
13,идентичности,Contrib
14,",",O
15,выявляется,Contrib
16,место,Contrib
17,",",Contrib
18,которое,Contrib
19,занимает,Contrib
20,Россия,Contrib
21,в,Contrib
22,украинском,Contrib
23,медийном,Contrib
24,дискурсе,Contrib
25,.,O
