id,token,tag
0,Уточняется,Contrib
1,соотношение,Contrib
2,понятий,Contrib
3,коммуникативная,Contrib
4,стратегия,Contrib
5,",",Contrib
6,речевая,Contrib
7,тактика,Contrib
8,и,Contrib
9,коммуникативный,Contrib
10,ход,Contrib
11,.,O
12,Выявляются,Contrib
13,разновидности,Contrib
14,речевых,Contrib
15,тактик,Contrib
16,и,Contrib
17,коммуникативных,Contrib
18,ходов,Contrib
19,",",Contrib
20,реализующие,Contrib
21,стратегии,Contrib
22,обличения,Contrib
23,и,Contrib
24,разоблачения,Contrib
25,в,Contrib
26,жанре,Contrib
27,литературной,Contrib
28,критики,Contrib
29,.,O
30,Делается,O
31,вывод,O
32,о,O
33,специфике,Conc
34,жанра,Conc
35,литературной,Conc
36,критики,Conc
37,в,Conc
38,масс-медийном,Conc
39,издании,Conc
40,.,O
