id,token,tag
0,Исследуется,Contrib
1,влияние,Contrib
2,средств,Contrib
3,массовой,Contrib
4,информации,Contrib
5,на,Contrib
6,процесс,Contrib
7,формирования,Contrib
8,социального,Contrib
9,времени,Contrib
10,.,O
11,Раскрывается,Contrib
12,механизм,Contrib
13,создания,Contrib
14,временных,Contrib
15,«,Contrib
16,новостных,Contrib
17,пиков,Contrib
18,»,Contrib
19,",",Contrib
20,ведущих,Contrib
21,к,Contrib
22,ускорению,Contrib
23,социального,Contrib
24,ритма,Contrib
25,.,O
26,Автор,O
27,приходит,O
28,к,O
29,выводу,O
30,о,O
31,том,O
32,",",O
33,что,O
34,ускорение,Conc
35,социального,Conc
36,времени,Conc
37,происходит,Conc
38,искусственно,Conc
39,посредством,Conc
40,конструирования,Conc
41,журналистами,Conc
42,микрособытий,Conc
43,",",Conc
44,тематически,Conc
45,дробящих,Conc
46,сообщение,Conc
47,о,Conc
48,сенсационном,Conc
49,происшествии,Conc
50,.,O
