id,token,tag
0,Анализируется,Contrib
1,российско-таджикистанские,Contrib
2,взаимоотношения,Contrib
3,и,Contrib
4,их,Contrib
5,освещение,Contrib
6,в,Contrib
7,СМИ,Contrib
8,Таджикистана,Contrib
9,.,O
10,В,O
11,качестве,O
12,основных,O
13,тем,O
14,выделяются,O
15,проблемы,O
16,трудовой,Task
17,миграции,Task
18,",",Task
19,энергетики,Task
20,и,Task
21,военного,Task
22,сотрудничества,Task
23,.,O
24,Акцентируется,O
25,внимание,O
26,на,O
27,роли,Task
28,СМИ,Task
29,в,Task
30,контексте,Task
31,национальной,Task
32,безопасности,Task
33,и,Task
34,евразийской,Task
35,интеграции,Task
36,.,O
