id,token,tag
0,Статья,O
1,посвящена,O
2,переходу,Task
3,казахстанских,Task
4,вузов,Task
5,к,Task
6,инновационным,Task
7,моделям,Task
8,.,O
9,Изучается,Contrib
10,структура,Contrib
11,",",Contrib
12,история,Contrib
13,и,Contrib
14,опыт,Contrib
15,западных,Contrib
16,концепций,Contrib
17,организации,Contrib
18,университетского,Contrib
19,образования,Contrib
20,",",O
21,а,O
22,также,O
23,анализируются,Contrib
24,проблемы,Contrib
25,и,Contrib
26,перспективные,Contrib
27,возможности,Contrib
28,применения,Contrib
29,инновационных,Contrib
30,технологий,Contrib
31,в,Contrib
32,журналистском,Contrib
33,образовании,Contrib
34,.,O
