id,token,tag
0,Статья,O
1,посвящена,O
2,описанию,Contrib
3,прецедентных,Contrib
4,феноменов,Contrib
5,",",Contrib
6,функционирующих,Contrib
7,в,Contrib
8,определенной,Contrib
9,структурной,Contrib
10,константе,Contrib
11,рекламного,Contrib
12,текста,Contrib
13,.,O
14,Функциональное,O
15,наполнение,O
16,прецедентного,O
17,феномена,O
18,оказывается,O
19,различным,O
20,в,O
21,зависимости,O
22,от,O
23,презентации,O
24,в,O
25,определенном,O
26,структурном,O
27,элементе,O
28,.,O
29,Закрепление,O
30,прецедентного,O
31,феномена,O
32,в,O
33,заголовке,O
34,способствует,O
35,тому,O
36,",",O
37,что,O
38,данный,O
39,прецедент,O
40,раскрывается,O
41,как,O
42,наиболее,O
43,важная,O
44,тема,O
45,текста,O
46,",",O
47,как,O
48,отражение,O
49,авторского,O
50,замысла,O
51,",",O
52,как,O
53,«,O
54,доминантный,O
55,»,O
56,материал,O
57,",",O
58,привлекающий,O
59,внимание,O
60,читателя,O
61,и,O
62,определяющий,O
63,построение,O
64,текста,O
65,.,O
