id,token,tag
0,Рассматривается,Contrib
1,один,Contrib
2,из,Contrib
3,аспектов,Contrib
4,интертекстуальности,Contrib
5,в,Contrib
6,СМИ,Contrib
7,–,Contrib
8,словообразовательная,Contrib
9,интертекстуальная,Contrib
10,деривация,Contrib
11,:,O
12,анализируются,Contrib
13,наиболее,Contrib
14,частотные,Contrib
15,случаи,Contrib
16,употребления,Contrib
17,словообразовательных,Contrib
18,дериватов,Contrib
19,",",Contrib
20,образованных,Contrib
21,на,Contrib
22,базе,Contrib
23,интертекстемы,Contrib
24,",",Contrib
25,в,Contrib
26,русскоязычных,Contrib
27,печатных,Contrib
28,средствах,Contrib
29,массовой,Contrib
30,информации,Contrib
31,начала,Contrib
32,XXI,Contrib
33,в,Contrib
34,.,O
