id,token,tag
0,Дается,Contrib
1,обзор,Contrib
2,факторов,Contrib
3,",",Contrib
4,приводящих,Contrib
5,к,Contrib
6,изменениям,Contrib
7,в,Contrib
8,структуре,Contrib
9,медиаотрасли,Contrib
10,и,Contrib
11,формах,Contrib
12,предоставляемого,Contrib
13,СМИ,Contrib
14,контента,Contrib
15,.,O
16,При,O
17,этом,O
18,упор,O
19,делается,O
20,на,O
21,изменившиеся,O
22,условия,O
23,существования,O
24,самих,O
25,медиа,O
26,как,O
27,социального,O
28,явления,O
29,",",O
30,новых,O
31,ожиданиях,O
32,аудитории,O
33,и,O
34,процессах,O
35,восприятия,O
36,медиапродукта,O
37,.,O
38,Приводятся,Contrib
39,«,Contrib
40,проклятые,Contrib
41,вопросы,Contrib
42,»,Contrib
43,медиарынка,Contrib
44,",",O
45,ответы,O
46,на,O
47,которые,O
48,пытаются,O
49,найти,O
50,руководители,O
51,всех,O
52,типов,O
53,СМИ,O
54,",",O
55,рассматриваются,Contrib
56,бизнес-,Contrib
57,стратегии,Contrib
58,медиаотрасли,Contrib
59,",",Contrib
60,которые,Contrib
61,аналитики,Contrib
62,рынка,Contrib
63,обозначают,Contrib
64,в,Contrib
65,качестве,Contrib
66,перспективных,Contrib
67,.,O
