id,token,tag
0,Рассматривается,O
1,репрезентация,Task
2,в,Task
3,рекламных,Task
4,текстах,Task
5,ценностей,Task
6,",",Task
7,значимых,Task
8,для,Task
9,целевой,Task
10,аудитории,Task
11,.,O
12,Выполнен,Contrib
13,анализ,Contrib
14,представления,Contrib
15,ценностей,Contrib
16,традиционных,Contrib
17,(,Contrib
18,семейные,Contrib
19,ценности,Contrib
20,",",Contrib
21,дружба,Contrib
22,",",Contrib
23,патриотизм,Contrib
24,),Contrib
25,",",Contrib
26,рациональных,Contrib
27,ценностей,Contrib
28,современного,Contrib
29,социума,Contrib
30,(,Contrib
31,успех,Contrib
32,",",Contrib
33,безупречность,Contrib
34,",",Contrib
35,состязательность,Contrib
36,),Contrib
37,",",Contrib
38,гедонистических,Contrib
39,ценностей,Contrib
40,(,Contrib
41,чувственные,Contrib
42,удовольствия,Contrib
43,",",Contrib
44,легкая,Contrib
45,жизнь,Contrib
46,",",Contrib
47,уход,Contrib
48,от,Contrib
49,реальности,Contrib
50,в,Contrib
51,мир,Contrib
52,виртуального,Contrib
53,),Contrib
54,.,O
