id,token,tag
0,Представлен,O
1,случай,O
2,синдрома,O
3,Ледда,O
4,у,O
5,ребенка,O
6,10,O
7,лет,O
8,.,O
9,Пациент,O
10,длительное,O
11,время,O
12,страдал,O
13,приступами,O
14,повторяющейся,O
15,рвоты,O
16,",",O
17,сопровождавшейся,O
18,слабостью,O
19,",",O
20,вялостью,O
21,",",O
22,болями,O
23,в,O
24,животе,O
25,.,O
26,При,O
27,проведении,O
28,рентгенологического,Method
29,обследования,Method
30,верхнего,O
31,отдела,O
32,пищеварительного,O
33,тракта,O
34,установлена,Conc
35,врожденная,Conc
36,патология,Conc
37,–,Conc
38,незавершенный,Conc
39,поворот,Conc
40,кишечника,Conc
41,",",Conc
42,синдром,Conc
43,Ледда,Conc
44,.,O
45,Данный,Conc
46,клинический,Conc
47,случай,Conc
48,характеризуется,Conc
49,трудностью,Conc
50,в,Conc
51,диагностике,Conc
52,и,Conc
53,демонстрирует,Conc
54,необходимость,Conc
55,тщательного,Conc
56,обследования,Conc
57,пациентов,Conc
58,с,Conc
59,синдромом,Conc
60,рвоты,Conc
61,.,O
