id,token,tag
0,Обследовано,Contrib
1,190,Contrib
2,больных,Contrib
3,с,Contrib
4,острым,Contrib
5,инфарктом,Contrib
6,миокарда,Contrib
7,",",Contrib
8,которые,Contrib
9,получали,Contrib
10,внутривенную,Contrib
11,лазеротерапию,Contrib
12,(,Contrib
13,"632,8",Contrib
14,нм,Contrib
15,),Contrib
16,",",Contrib
17,из,Contrib
18,них,Contrib
19,46,Contrib
20,в,Contrib
21,сочетании,Contrib
22,с,Contrib
23,физическими,Contrib
24,тренировками,Contrib
25,методом,Contrib
26,дозированной,Contrib
27,ходьбы,Contrib
28,.,O
29,Показано,O
30,",",O
31,что,O
32,дополнение,Conc
33,физической,Conc
34,реабилитации,Conc
35,лазеротерапией,Conc
36,на,Conc
37,стационарном,Conc
38,этапе,Conc
39,достоверно,Conc
40,повышает,Conc
41,пороговую,Conc
42,мощность,Conc
43,по,Conc
44,данным,Conc
45,ВЭМ,Conc
46,на,Conc
47,"18,6",Conc
48,%,Conc
49,",",Conc
50,снижает,Conc
51,частоту,Conc
52,безболевой,Conc
53,ишемии,Conc
54,миокарда,Conc
55,в,Conc
56,"1,7",Conc
57,раза,Conc
58,",",Conc
59,оказывает,Conc
60,антиаритмический,Conc
61,эффект,Conc
62,.,O
63,Благоприятное,Conc
64,влияние,Conc
65,лазеротерапии,Conc
66,сохраняется,Conc
67,не,Conc
68,менее,Conc
69,6,Conc
70,месяцев,Conc
71,.,O
