id,token,tag
0,Изучены,Contrib
1,особенности,Contrib
2,изменения,Contrib
3,концентрации,Contrib
4,цитокинов,Contrib
5,в,Contrib
6,сыворотке,Contrib
7,крови,Contrib
8,у,Contrib
9,детей,Contrib
10,со,Contrib
11,злокачественными,Contrib
12,новообразованиями,Contrib
13,до,Contrib
14,проведения,Contrib
15,интенсивных,Contrib
16,курсов,Contrib
17,комбинированной,Contrib
18,полихимио-,Contrib
19,и,Contrib
20,радиотерапии,Contrib
21,.,O
22,Первую,O
23,(,O
24,основную,O
25,),O
26,группу,O
27,составили,O
28,больные,O
29,с,O
30,различными,O
31,формами,O
32,онкогематологических,O
33,заболеваний,O
34,с,O
35,проявлениями,O
36,анемии,O
37,(,O
38,n,O
39,=,O
40,50,O
41,),O
42,",",O
43,вторую,O
44,–,O
45,онкогематологические,O
46,пациенты,O
47,без,O
48,клинико-лабораторных,O
49,признаков,O
50,анемического,O
51,синдрома,O
52,(,O
53,группа,O
54,сравнения,O
55,),O
56,(,O
57,n,O
58,=,O
59,30,O
60,),O
61,.,O
62,Контрольная,O
63,группа,O
64,–,O
65,30,O
66,практически,O
67,здоровых,O
68,детей,O
69,.,O
70,Установлено,Conc
71,повышение,Conc
72,содержания,Conc
73,как,Conc
74,провоспалительных,Conc
75,",",Conc
76,так,Conc
77,и,Conc
78,противовоспалительных,Conc
79,цитокинов,Conc
80,в,Conc
81,основной,Conc
82,группе,Conc
83,",",Conc
84,превосходящие,Conc
85,в,Conc
86,"2,4–5,1",Conc
87,раза,Conc
88,значения,Conc
89,группы,Conc
90,сравнения,Conc
91,и,Conc
92,"7,0–17,9",Conc
93,раза,Conc
94,–,Conc
95,группы,Conc
96,контроля,Conc
97,",",O
98,что,O
99,указывает,O
100,на,O
101,активное,Conc
102,участие,Conc
103,цитокинов,Conc
104,в,Conc
105,развитии,Conc
106,анемического,Conc
107,синдрома,Conc
108,у,Conc
109,детей,Conc
110,с,Conc
111,онкогематологическими,Conc
112,заболеваниями,Conc
113,.,O
114,Определено,O
115,",",O
116,что,O
117,степень,Conc
118,изменения,Conc
119,содержания,Conc
120,цитокинов,Conc
121,может,Conc
122,указывать,Conc
123,на,Conc
124,распространенность,Conc
125,и,Conc
126,тяжесть,Conc
127,течения,Conc
128,онкологического,Conc
129,процесса,Conc
130,у,Conc
131,детей,Conc
132,.,O
133,Эти,O
134,данные,O
135,дают,O
136,основание,O
137,предположить,O
138,",",O
139,что,O
140,анемический,Conc
141,синдром,Conc
142,при,Conc
143,онкологическом,Conc
144,процессе,Conc
145,",",Conc
146,приводя,Conc
147,к,Conc
148,цитокиновой,Conc
149,дезадаптации,Conc
150,",",Conc
151,является,Conc
152,показателем,Conc
153,его,Conc
154,избыточной,Conc
155,распространенности,Conc
156,и,Conc
157,тяжести,Conc
158,.,O
