id,token,tag
0,Представлено,Contrib
1,обобщенное,Contrib
2,описание,Contrib
3,адаптационных,Contrib
4,реакций,Contrib
5,липы,Contrib
6,мелколистной,Contrib
7,в,Contrib
8,различных,Contrib
9,типах,Contrib
10,техногенных,Contrib
11,условий,Contrib
12,.,O
13,На,O
14,основе,O
15,многочисленных,O
16,количественных,O
17,данных,O
18,",",O
19,полученных,O
20,в,O
21,предыдущие,O
22,годы,O
23,исследований,O
24,",",O
25,составлены,Contrib
26,схемы,Contrib
27,реализации,Contrib
28,адаптивного,Contrib
29,потенциала,Contrib
30,липы,Contrib
31,мелколистной,Contrib
32,в,Contrib
33,условиях,Contrib
34,нефтехимического,Contrib
35,и,Contrib
36,полиметаллического,Contrib
37,загрязнений,Contrib
38,.,O
39,Показана,Conc
40,специфичность,Conc
41,адаптационных,Conc
42,реакций,Conc
43,липы,Conc
44,",",O
45,их,Conc
46,зависимость,Conc
47,от,Conc
48,возраста,Conc
49,и,Conc
50,типа,Conc
51,загрязнения,Conc
52,.,O
