id,token,tag
0,Проанализировано,Contrib
1,состояние,Contrib
2,репродуктивного,Contrib
3,здоровья,Contrib
4,женщин,Contrib
5,(,Contrib
6,n,Contrib
7,=,Contrib
8,231,Contrib
9,),Contrib
10,и,Contrib
11,их,Contrib
12,потомков,Contrib
13,1-го,Contrib
14,(,Contrib
15,n,Contrib
16,=,Contrib
17,360,Contrib
18,),Contrib
19,и,Contrib
20,2-го,Contrib
21,поколений,Contrib
22,(,Contrib
23,n,Contrib
24,=,Contrib
25,112,Contrib
26,),Contrib
27,",",Contrib
28,находившихся,Contrib
29,в,Contrib
30,зоне,Contrib
31,радиационного,Contrib
32,воздействия,Contrib
33,на,Contrib
34,следе,Contrib
35,ядерного,Contrib
36,взрыва,Contrib
37,1949,Contrib
38,г.,Contrib
39,на,Contrib
40,Семипалатинском,Contrib
41,полигоне,Contrib
42,.,O
43,Проведено,Contrib
44,определение,Contrib
45,субпопуляционной,Contrib
46,структуры,Contrib
47,иммунокомпетентных,Contrib
48,клеток,Contrib
49,",",Contrib
50,концентрации,Contrib
51,фактора,Contrib
52,некроза,Contrib
53,опухоли,Contrib
54,в,Contrib
55,сыворотке,Contrib
56,крови,Contrib
57,.,O
58,Показано,O
59,преобладание,Conc
60,у,Conc
61,облученных,Conc
62,и,Conc
63,их,Conc
64,потомков,Conc
65,1-го,Conc
66,и,Conc
67,2-го,Conc
68,поколений,Conc
69,экстрагенитальной,Conc
70,",",Conc
71,гинекологической,Conc
72,заболеваемости,Conc
73,",",Conc
74,осложненного,Conc
75,течения,Conc
76,беременности,Conc
77,.,O
78,У,Conc
79,женщин,Conc
80,2-го,Conc
81,поколения,Conc
82,обнаружены,Conc
83,изменения,Conc
84,субпопуляционной,Conc
85,структуры,Conc
86,иммунокомпетентных,Conc
87,клеток,Conc
88,.,O
89,Выявлено,Conc
90,значимое,Conc
91,увеличение,Conc
92,активности,Conc
93,одного,Conc
94,из,Conc
95,провоспалительных,Conc
96,цитокинов,Conc
97,–,Conc
98,фактора,Conc
99,некроза,Conc
100,опухоли,Conc
101,.,O
