id,token,tag
0,Одним,O
1,из,O
2,наиболее,O
3,частых,O
4,(,O
5,около,O
6,70,O
7,%,O
8,пациентов,O
9,с,O
10,сахарным,O
11,диабетом,O
12,),O
13,и,O
14,серьезных,O
15,осложнений,O
16,сахарного,O
17,диабета,O
18,является,O
19,синдром,O
20,диабетической,O
21,стопы,O
22,(,O
23,СДС,O
24,),O
25,.,O
26,Обследовано,Contrib
27,92,Contrib
28,больных,Contrib
29,с,Contrib
30,СДС,Contrib
31,.,O
32,Сформировано,O
33,три,O
34,группы,O
35,пациентов,O
36,:,O
37,1-я,O
38,группа,O
39,больных,O
40,находилась,O
41,на,O
42,традиционной,O
43,терапии,O
44,",",O
45,2-я,O
46,группа,O
47,лечилась,O
48,с,O
49,использованием,O
50,традиционного,O
51,лечения,O
52,плюс,O
53,курс,O
54,дискретного,O
55,модифицированного,O
56,плазмафереза,O
57,",",O
58,3-я,O
59,-,O
60,традиционное,O
61,лечение,O
62,плюс,O
63,курс,O
64,аппаратного,O
65,лимфоцитафереза,O
66,.,O
67,Показана,Conc
68,наибольшая,Conc
69,эффективность,Conc
70,лечения,Conc
71,в,Conc
72,3-й,Conc
73,группе,Conc
74,:,Conc
75,регенераторный,Conc
76,тип,Conc
77,цитограммы,Conc
78,наблюдался,Conc
79,у,Conc
80,"89,4",Conc
81,%,Conc
82,пациентов,Conc
83,",",Conc
84,во,Conc
85,2-й,Conc
86,группе,Conc
87,-,Conc
88,у,Conc
89,"74,2",Conc
90,%,Conc
91,",",Conc
92,в,Conc
93,1-й,Conc
94,-,Conc
95,у,Conc
96,"53,8",Conc
97,%,Conc
98,пациентов,Conc
99,.,O
