id,token,tag
0,Изучен,Contrib
1,состав,Contrib
2,иридоидов,Contrib
3,в,Contrib
4,сырье,Contrib
5,растений,Contrib
6,рода,Contrib
7,вероника,Contrib
8,",",Contrib
9,произрастающих,Contrib
10,в,Contrib
11,Предуралье,Contrib
12,.,O
13,Проведена,Contrib
14,оценка,Contrib
15,содержания,Contrib
16,иридоидов,Contrib
17,в,Contrib
18,экстрактах,Contrib
19,из,Contrib
20,сырья,Contrib
21,Veronica,Contrib
22,оfficinalis,Contrib
23,L.,Contrib
24,",",Contrib
25,V.,Contrib
26,chamaedrys,Contrib
27,L.,Contrib
28,",",Contrib
29,V.,Contrib
30,teucrium,Contrib
31,L.,Contrib
32,",",Contrib
33,V.,Contrib
34,spicata,Contrib
35,L.,Contrib
36,",",Contrib
37,V.,Contrib
38,lonqifolia,Contrib
39,L.,Contrib
40,",",Contrib
41,V.,Contrib
42,spuria,Contrib
43,L.,Contrib
44,",",Contrib
45,V.,Contrib
46,incana,Contrib
47,L,Contrib
48,.,O
49,Оценено,Contrib
50,бактериостатическое,Contrib
51,действие,Contrib
52,экстрактов,Contrib
53,вероник,Contrib
54,на,O
55,примере,O
56,Staphylococcus,O
57,aureus,O
58,и,O
59,E.,O
60,сoli,O
61,.,O
62,Установлена,Conc
63,корреляция,Conc
64,между,Conc
65,содержанием,Conc
66,иридоидов,Conc
67,и,Conc
68,бактериостатическим,Conc
69,действием,Conc
70,экстрактов,Conc
71,вероник,Conc
72,.,O
