id,token,tag
0,Представлены,Contrib
1,патогенетические,Contrib
2,механизмы,Contrib
3,формирования,Contrib
4,микроангиопатий,Contrib
5,при,Contrib
6,вибрационной,Contrib
7,болезни,Contrib
8,.,O
9,Уточнены,Contrib
10,лейкоцитарно-эндотелиальные,Contrib
11,взаимодействия,Contrib
12,в,Contrib
13,формировании,Contrib
14,сосудистой,Contrib
15,дисфункции,Contrib
16,от,Contrib
17,воздействия,Contrib
18,локальных,Contrib
19,вибраций,Contrib
20,.,O
21,Предложены,Contrib
22,дополнительные,Contrib
23,методы,Contrib
24,диагностики,Contrib|Task
25,сосудистых,Contrib|Task
26,нарушений,Contrib|Task
27,у,Contrib|Task
28,больных,Contrib|Task
29,с,Contrib|Task
30,вибрационной,Contrib|Task
31,патологией,Contrib|Task
32,.,O
